FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012-08;5,9069
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012-09;5,7524
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012-10;5,7096
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012-11;5,72
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012-12;5,6043
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-01;5,5558
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-02;5,5576
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-03;5,769
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-04;5,7919
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-05;5,8238
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-06;5,869
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-07;6,0282
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-08;5,9646
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-09;5,9734
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-10;5,9562
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-11;6,0814
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013-12;6,1332
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-01;6,1666
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-02;6,1185
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-03;5,9981
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-04;5,973
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-05;5,935
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-06;6,0482
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-07;6,1955
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-08;6,1971
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-09;6,3409
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-10;6,5603
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-11;6,8081
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014-12;7,2718
M;Månedlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2015-01;7,6869
